ResponseId,EdLevelNum,BinnedSalary_$1K,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp
12,4 Bachelorï¿½ï,194,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum)","Technical documentation;Blogs;Written Tutorials;Video-based Online Courses;How-to videos;Written-based Online Courses;Auditory material (e.g., podcasts);Interactive tutorial",,12,10,Engineering manager,20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",194400,Yearly,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,C++;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript,Couchbase;CouchDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB;Redis;SQLite,AWS;Microsoft Azure,AWS;DigitalOcean;Firebase;Linode,ASP.NET;ASP.NET Core ;Express;Node.js;Vue.js,ASP.NET Core ;Node.js;Nuxt.js;React.js;Vue.js,.NET;Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Keras;NumPy;Pandas;Scikit-learn;TensorFlow;Torch/PyTorch;Hugging Face Transformers,Docker;Homebrew;Kubernetes,Docker;Homebrew;Kubernetes;Pulumi;Terraform,IPython/Jupyter;Neovim;Visual Studio;Visual Studio Code,IPython/Jupyter;Neovim;Visual Studio Code,Linux-based;macOS;Windows,Linux-based;macOS,Git,Code editor;Dedicated version control GUI application,,,Confluence;Jira Work Management;Notion;Trello,Notion;Trello,Cisco Webex Teams;Google Chat;Microsoft Teams;RingCentral;Slack;Zoom,Slack,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Yes,People manager,14
13,4 Bachelorï¿½ï,65,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","School (i.e., University, College, etc)",,,12,5,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Visit developer communities like Stack Overflow,United States of America,"USD	United States dollar",65000,Yearly,C;HTML/CSS;Rust;SQL;Swift;TypeScript,Haskell;HTML/CSS;Rust;Swift,PostgreSQL,Elasticsearch;Redis,AWS,AWS,React.js,React.js,Torch/PyTorch,Torch/PyTorch,Docker,Docker,Vim;Visual Studio,Vim;Visual Studio,macOS,Linux-based,Git,Code editor;Command-line,,,Jira Work Management;Trello,Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,5
15,5 Masterï¿½ï,110,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Coding sessions (live or recorded),,11,5,"Developer, full-stack;Academic researcher;DevOps specialist","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",110000,Yearly,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,HTML/CSS;JavaScript;Python;Scala,Elasticsearch;MongoDB;Neo4j;PostgreSQL,Elasticsearch;MongoDB;Neo4j;PostgreSQL,AWS;DigitalOcean;Heroku,AWS,Django;Flask;jQuery;Node.js;Ruby on Rails;Vue.js,Django;FastAPI;React.js;Vue.js,Apache Kafka;Apache Spark;NumPy;Pandas;Tidyverse,Pandas,Docker;npm;Yarn,Docker;npm;Yarn,IPython/Jupyter;Nano;RStudio;Visual Studio Code,Visual Studio Code,macOS,macOS,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Asana;Jira Work Management;Trello,Asana;Jira Work Management;Trello,Microsoft Teams;Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Yes,Independent contributor,5
27,4 Bachelorï¿½ï,106,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague",Technical documentation;Stack Overflow;Online forum,,10,5,"Developer, full-stack;Developer, back-end",20 to 99 employees,I have little or no influence,Start a free trial,United States of America,"USD	United States dollar",106960,Yearly,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Python,MongoDB;MySQL,MongoDB,AWS,AWS,jQuery,jQuery;React.js,,,,,Atom;IntelliJ;Vim,Atom;IntelliJ;Vim,macOS,macOS;Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Microsoft Teams;Slack;Zoom,Slack,Favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;North American,None of the above,None of the above,No,,
29,5 Masterï¿½ï,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Books / Physical media;School (i.e., University, College, etc)",,,20,14,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","10,000 or more employees",I have little or no influence,Other (please specify):;Ask developers I know/work with,United States of America,"USD	United States dollar",130000,Yearly,C;C++,C++,,,,,,,Qt,,,,Visual Studio,,Windows,Linux-based,Git,Command-line;Dedicated version control GUI application,,,Confluence;Jira Work Management,Jira Work Management,Microsoft Teams,,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,Yes,Independent contributor,14
32,4 Bachelorï¿½ï,102,I am a developer by profession,"Employed, full-time",Fully remote,I donï¿½ï¿½ï¿½t code outside o,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training",Technical documentation;Blogs;Stack Overflow;Online forum;Other (Please specify):,,24,21,"Developer, full-stack","10,000 or more employees",I have some influence,Other (please specify):,United States of America,"USD	United States dollar",102000,Yearly,C#;HTML/CSS;JavaScript;SQL,TypeScript,Microsoft SQL Server,,Microsoft Azure,,ASP.NET,Angular;ASP.NET Core ;Blazor;Vue.js,.NET,Xamarin,,,Visual Studio,,Windows,Windows,Git,Code editor,,,,,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",55-64 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,Independent contributor,21
41,3 Associate,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online forum;How-to videos,,20,15,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Cloud infrastructure engineer;Data or business analyst;Designer",100 to 499 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,United States of America,"USD	United States dollar",130000,Yearly,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,,MongoDB;MySQL;SQLite,,AWS;Managed Hosting;Microsoft Azure,,ASP.NET;ASP.NET Core ;jQuery,,.NET;Xamarin,,,,Notepad++;Visual Studio;Visual Studio Code,,,macOS;Windows,Git,Code editor,,,,,,,Unsure,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,,None of the above,No,,
48,4 Bachelorï¿½ï,135,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial",,6,5,"Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,"USD	United States dollar",135000,Yearly,Java;JavaScript;PHP;SQL;TypeScript,C++;Go,Cassandra;MySQL,,,,Angular;Angular.js;jQuery,,,,Docker;Homebrew;Kubernetes;npm;Yarn,,CLion;IntelliJ;PhpStorm,,macOS,macOS,Git,Command-line,,,Confluence;Jira Work Management,,Slack;Zoom,,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not really",25-34 years old,Woman,No,Straight / Heterosexual,White;European;Asian;East Asian,None of the above,I have an anxiety disorder,Yes,Independent contributor,5
54,4 Bachelorï¿½ï,170,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelorï¿½ï¿½ï¿½s degree (B.A., B.S., B.Eng.,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow,,15,10,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow,United States of America,"USD	United States dollar",170000,Yearly,C#;HTML/CSS;JavaScript;SQL;TypeScript,,Microsoft SQL Server,DynamoDB,AWS,AWS,Angular;ASP.NET Core ;jQuery;Node.js,,.NET,Apache Spark;Hadoop,npm,Docker;Kubernetes,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,macOS,Git,Code editor;Command-line,,,Confluence;Trello,,Slack;Zoom,Slack;Zoom,Very unfavorable,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;Middle Eastern,,,Yes,Independent contributor,12
56,5 Masterï¿½ï,141,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Masterï¿½ï¿½ï¿½s degree (M.A., M.S., M.Eng., MBA,","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Interactive tutorial;Coding sessions (live or recorded)",,9,5,"Developer, full-stack;Developer, back-end",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,"USD	United States dollar",141000,Yearly,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;Redis,AWS;Microsoft Azure;VMware,Microsoft Azure,Angular.js;jQuery;Node.js,jQuery;Node.js;React.js;Vue.js,.NET;Apache Spark;NumPy;Pandas;React Native;Torch/PyTorch;Hugging Face Transformers,.NET;NumPy;Pandas,Docker;npm,Docker;npm,IntelliJ;IPython/Jupyter;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Asana;Confluence;Notion;Stack Overflow for Teams;Trello,Stack Overflow for Teams;Trello,Microsoft Teams;Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Woman,No,Straight / Heterosexual,Black;Caribbean,None of the above,None of the above,Yes,Independent contributor,5
