,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
0,<0,6,critical account/other credits existing (not at this bank),radio/television,1169,unknown/no savings account,>7 yrs,4,none,4,real estate,67,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
1,0-200,48,existing credits paid back duly till now,radio/television,5951,<100,1-4 yrs,2,none,2,real estate,22,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
2,No account,12,critical account/other credits existing (not at this bank),education,2096,<100,4-7 yrs,2,none,3,real estate,49,none,rent,1,unskilled - resident,2,none,yes,good,single,male,3,1
3,<0,42,existing credits paid back duly till now,furniture/equipment,7882,<100,4-7 yrs,2,guarantor,4,savings agreement/life insurance,45,none,free,1,skilled employee / official,2,none,yes,good,single,male,3,1
4,<0,24,delay in paying off in the past,car (new),4870,<100,1-4 yrs,3,none,4,unknown/no property,53,none,free,2,skilled employee / official,2,none,yes,bad,single,male,2,0
5,No account,36,existing credits paid back duly till now,education,9055,unknown/no savings account,1-4 yrs,2,none,4,unknown/no property,35,none,free,1,unskilled - resident,2,"yes, registered",yes,good,single,male,2,1
6,No account,24,existing credits paid back duly till now,furniture/equipment,2835,500-1000,>7 yrs,3,none,4,savings agreement/life insurance,53,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
7,0-200,36,existing credits paid back duly till now,car (used),6948,<100,1-4 yrs,2,none,2,car or other,35,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,2,1
8,No account,12,existing credits paid back duly till now,radio/television,3059,>=1000,4-7 yrs,2,none,4,real estate,61,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated,male,3,1
9,0-200,30,critical account/other credits existing (not at this bank),car (new),5234,<100,unemployed,4,none,2,car or other,28,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,bad,married/widowed,male,0,0
