,article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,t_dat,customer_id,price,sales_channel_id,month,FN,Active,club_member_status,fashion_news_frequency,age,postal_code,age_group,age_group_order,age_group_order_rev,price_int,age_rev
4334587,88479,832997,Scrunchy Swimsuit,57,Swimsuit,Swimwear,1010026,Other structure,93,Dark Green,2,Medium Dusty,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined, ribbed, textured swimsuit with a low-cut back and shoulder straps with decorative plastic buckles.",2020-06-18,845027,0.0267966101694915,1,6,0.0,,ACTIVE,NONE,28.0,4d1de22ac74fa0d560f152fc070c094f1fc3b0ec3d309a51f08d8e5d01c4300a,25-34,28.0,12.0,26,13
240936,39010,659854,B David Kaftan,265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Kaftan in soft, airy jersey with a V-neck, short sleeves and detachable tie belt at the waist.",2020-05-22,1147045,0.0169322033898305,2,5,1.0,1.0,ACTIVE,Regularly,34.0,a572a1d3e8378cebb26ff0c685ff4d76ce4b3b74b30953ef92e13d9956b59ff3,25-34,34.0,6.0,16,7
1920336,72704,768759,Jalin linen(1),253,Vest top,Garment Upper body,1010016,Solid,22,Yellow,4,Dark,8,Yellow,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Vest top in soft linen jersey with a deep V-neck front and back.,2020-05-17,19671,0.0220169491525423,2,5,0.0,,ACTIVE,NONE,27.0,b5939308c061f6fc455072c8ab68507c5c5f933e5fabe3517ab1ef7e92f7b612,25-34,27.0,13.0,22,14
872363,89306,837439,Paradis,275,Skirt,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1422,Skirt,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1012,Skirts,"Calf-length, bell-shaped skirt in woven fabric. High paper bag waist with wide elastication, a small frill trim and wide, detachable tie belt. Unlined.",2020-05-30,85587,0.0271016949152542,1,5,0.0,,ACTIVE,NONE,26.0,9615e1dfa0050165e6c3a100d2f42ff2c77d614458f76bebf45a25bb29bfe899,25-34,26.0,14.0,27,15
2600585,63595,739590,Timeless Cheeky Brief,59,Swimwear bottom,Swimwear,1010017,Stripe,92,Green,2,Medium Dusty,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a low waist and cutaway coverage at the back.,2020-07-18,551816,0.0135423728813559,1,7,1.0,1.0,ACTIVE,Regularly,28.0,319b01e4ad3d52de153b990b24ff9f56a3e0ef3ed4127bfc4fc8b08d21917ccc,25-34,28.0,12.0,13,13
2952152,75358,781135,Wide H.W Ankle,272,Trousers,Garment Lower body,1010023,Denim,10,White,3,Light,9,White,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket, ankle-length jeans in washed, stretch denim with a high waist and straight, wide legs. The cotton content of the jeans is partly recycled.",2020-07-21,813330,0.0440508474576271,1,7,0.0,,ACTIVE,NONE,31.0,dfc357df3a6daf70771d50c3092683490679cd2c54655b3e5cedc545152a5967,25-34,31.0,9.0,44,10
3816395,91760,851010,Orlando brazilian Aster 2p,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1338,Expressive Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Brazilian briefs in lace with a low waist, lined gusset and high cut at the back.",2020-06-15,580305,0.0152372881355932,1,6,0.0,,ACTIVE,NONE,29.0,fb5ab0d3841457c3f353d192f64ea8543e738cec9fa533997a367ec1712c1dc1,25-34,29.0,11.0,15,12
2586895,92806,855235,Bertha Blouse Jsy,258,Blouse,Garment Upper body,1010001,All over pattern,93,Dark Green,4,Dark,19,Green,1545,Projects Woven Tops,D,Divided,2,Divided,50,Divided Projects,1010,Blouses,"Blouse in frill-trimmed, crinkled jersey with a small, smocked stand-up collar and an opening with buttons at the back of the neck. Long sleeves with elastication at the cuffs, an elasticated seam at the waist and circular peplum.",2020-06-12,613393,0.0423559322033898,2,6,1.0,1.0,ACTIVE,Regularly,28.0,468b68bb0df1eaa41db67c52d11555f37fcf28d5ca78bed7ff371e172f0eb5e0,25-34,28.0,12.0,42,13
522589,101245,895346,Embrace Bermuda HW,274,Shorts,Garment Lower body,1010023,Denim,9,Black,4,Dark,5,Black,1773,Denim Other Garments,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket shorts in washed, stretch denim with a high waist, zip fly and button and slim legs with sewn-in turn-ups at the hems. The cotton content of the shorts is partly recycled. Embrace – denim with a smart stretch function that moulds to the body for a comfortable, flattering silhouette.",2020-07-18,959360,0.0338813559322033,2,7,1.0,,ACTIVE,Regularly,38.0,3718675d6141aab3f59acdce8515d25a561d9172e0a5db07e6744be3f95af30f,35-44,38.0,2.0,33,3
3324256,83396,811925,Knot Bitter Top,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined, non-wired bikini top with wide shoulder straps and padded cups with removable inserts that shape the bust and provide good support. Knot detail at the front and a metal fastener at the back.",2020-05-06,494572,0.0304915254237288,2,5,1.0,1.0,PRE-CREATE,Regularly,27.0,b578f20b3da23781e8366e0fad344889438ad5df8e1847d6caccf2b92619f6a8,25-34,27.0,13.0,30,14
2489339,74301,776237,Shake it in Balconette,298,Bikini top,Swimwear,1010001,All over pattern,9,Black,4,Dark,5,Black,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Lined balconette bikini top with underwired, padded cups that lift and shape the bust. Silicone trim at the hem, detachable, adjustable shoulder straps, side support and a metal fastener at the back.",2020-06-17,473294,0.0254067796610169,2,6,0.0,,ACTIVE,NONE,33.0,83a893a06736356c552e35b80bf7a5a93ae9030a81b1a5e4e82532879772509b,25-34,33.0,7.0,25,8
623361,100087,888331,Bonnie SL set (J),297,Pyjama set,Nightwear,1010006,Dot,71,Light Blue,3,Light,2,Blue,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Pyjamas with a top and pair of shorts in soft jersey. Straight-cut top with dropped shoulders, short sleeves and short slits in the sides of the hem. Shorts with an elasticated waist.",2020-07-03,1057107,0.0254067796610169,2,7,1.0,1.0,ACTIVE,Regularly,37.0,ed8b41e78baa2896312f4251a728054591f1ad293efc23bd9d71c173e6f2246d,35-44,37.0,3.0,25,4
2290687,27906,621381,Jade Trash HW Skinny Denim TRS,272,Trousers,Garment Lower body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"High-waisted jeans in washed superstretch denim with hard-worn details, a zip fly and button, back pockets and skinny legs.",2020-06-12,1027691,0.0338813559322033,2,6,1.0,1.0,ACTIVE,Regularly,30.0,333f0ea45b4027fdc6741f546127eda5ae3c2e1048f56fb5cf9d77f47eac04de,25-34,30.0,10.0,33,11
3729226,98541,879781,Lilly Tank (1),254,Top,Garment Upper body,1010010,Melange,12,Light Beige,2,Medium Dusty,11,Beige,1616,Knitwear,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1003,Knitwear,"Fitted vest top in a soft, rib-knit viscose blend.",2020-07-31,927808,0.0169322033898305,1,7,1.0,1.0,ACTIVE,Regularly,40.0,6d45bebf41ed626610691a2631b30451747a4eeddcd4d576c80f01c21ae4ade3,35-44,40.0,0.0,16,1
532331,41412,668956,Hilly Cheeky Brief 2pk HW LS,286,Underwear bottom,Underwear,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,3710,Functional Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Shaping briefs in microfibre with a light shaping effect on the waist. High waist, lined gusset and cutaway coverage at the back. Laser-cut edges around the legs for a seamless, comfortable feel against the skin and minimal visibility under clothes.",2020-07-18,376168,0.0240508474576271,2,7,0.0,,ACTIVE,NONE,28.0,8c300f7f22403b28a52cc8990c914e1778d625dc4ba0fd77dc79239301e3f542,25-34,28.0,12.0,24,13
4007290,95027,865171,Porsche dress,265,Dress,Garment Full body,1010001,All over pattern,9,Black,4,Dark,5,Black,1666,Jersey,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1005,Jersey Fancy,"Knee-length dress in jersey crêpe with a V-neck and short, wide sleeves with gathers at the shoulders. Seam at the waist with concealed elastication and a sewn-on tie belt, and a flared skirt. Lined at the top.",2020-07-07,206652,0.0254067796610169,2,7,0.0,,ACTIVE,NONE,26.0,f0578e9ad677748aca6dda79b7e1e1ed6fc12011b82f85793e7957118466def9,25-34,26.0,14.0,25,15
2353798,95246,865921,Sima top,254,Top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1636,Jersey fancy,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1005,Jersey Fancy,Fitted top in ribbed jersey that can be worn off the shoulder with decorative buttons down the front and short sleeves. The polyester content of the top is recycled.,2020-06-11,522711,0.0169322033898305,2,6,1.0,1.0,ACTIVE,Regularly,34.0,652442ac536b1351bf10f693ad91ab975a93d33b5a3444f2a598f7a78d0afe2f,25-34,34.0,6.0,16,7
3356789,88532,833484,MAMA Jane Swimsuit,57,Swimsuit,Swimwear,1010026,Other structure,93,Dark Green,2,Medium Dusty,19,Green,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined swimsuit with a low neckline front and back, removable inserts that shape the bust and provide good support, and concealed elastication under the bust. Gathers in the sides for best fit over the tummy. The polyester content of the swimsuit lining is recycled.",2020-07-27,79112,0.0508305084745762,2,7,0.0,,ACTIVE,NONE,25.0,e761f1f20ed657e9ed74c9bd72d360cb24088d06345b515fda4ab29b5d27a4f2,25-34,25.0,15.0,50,16
1896452,55326,710194,Sandy,253,Vest top,Garment Upper body,1010016,Solid,52,Pink,2,Medium Dusty,4,Pink,1522,Blouse,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1010,Blouses,Loose-fitting vest top in an airy satin weave with a V-neck front and back.,2020-06-09,1257653,0.0196949152542372,2,6,1.0,1.0,ACTIVE,Regularly,35.0,41bf8a055f9694cfc6ce2eae9b13eb689df4b8d88aac97898fdaf72bbd238983,35-44,35.0,5.0,19,6
3966401,90583,843805,Havanna top new,298,Bikini top,Swimwear,1010016,Solid,9,Black,4,Dark,5,Black,1645,Divided Swimwear,D,Divided,2,Divided,51,Divided Basics,1018,Swimwear,"Lined, non-wired bikini top with a low-cut neckline front and back and wide shoulder straps. No fasteners.",2020-06-22,339589,0.0169322033898305,2,6,0.0,,ACTIVE,NONE,25.0,a2a3881076b1994b2676ac0d1224512a827d6b8e6e37a4b4792faf41b600c846,25-34,25.0,15.0,16,16
3601017,97032,872636,Celia n-shirt (W),293,Night gown,Nightwear,1010017,Stripe,71,Light Blue,3,Light,2,Blue,3709,Nightwear,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1017,"Under-, Nightwear","Knee-length nightshirt in a cool cotton weave with a collar, buttons down the front and a yoke with a pleat at the back. Open chest pocket with a decorative piped trim, gently dropped shoulders, long sleeves with wide, buttoned cuffs, and a rounded hem. Slightly longer at the back.",2020-07-03,521681,0.0338813559322033,1,7,0.0,,ACTIVE,NONE,29.0,68a3b19e617e1e68847d859205335a2296c1f13b355b9201c15fa29b5ec02d70,25-34,29.0,11.0,33,12
94523,83194,811450,Ally TU,275,Skirt,Garment Lower body,1010004,Check,73,Dark Blue,4,Dark,2,Blue,1422,Skirt,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1012,Skirts,"Knee-length, pleated skirt in a jacquard weave with a high waist and sewn-in wrapover at the front with an asymmetric hem. Concealed zip and button in one side. Unlined.",2020-05-27,1118287,0.0355762711864406,2,5,1.0,1.0,ACTIVE,Regularly,28.0,c45b869920b2031906d448ec3860554aef008ba4c9285b02b16d8044336344d9,25-34,28.0,12.0,35,13
157073,13701,559601,Babylock Me Up Tie Tanga,59,Swimwear bottom,Swimwear,1010001,All over pattern,11,Off White,3,Light,9,White,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,"Fully lined bikini bottoms with a low waist, overlocked edges and ties with metal decorations.",2020-06-15,293782,0.0220169491525423,2,6,0.0,,ACTIVE,NONE,28.0,0e2dbb7ffb037fc0d8ba03972478ea626fa099fe91babe3e8c4f6c88068a59f4,25-34,28.0,12.0,22,13
1324711,56447,713997,Scarf Scrunchie,78,Other accessories,Accessories,1010017,Stripe,11,Off White,1,Dusty Light,9,White,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Elasticated scrunchie in woven fabric with a scarf detail.,2020-05-16,661652,0.008457627118644,1,5,0.0,,ACTIVE,NONE,40.0,68bcfb9f07e7f3b27398a43c1186d4fcfaa8e62f07388fc1b2e19f0fd1f4cbef,35-44,40.0,0.0,8,1
1614516,88558,833530,Surfs Up Tanga,59,Swimwear bottom,Swimwear,1010026,Other structure,50,Other Pink,5,Bright,4,Pink,4242,Swimwear,B,Lingeries/Tights,1,Ladieswear,60,"Womens Swimwear, beachwear",1018,Swimwear,Fully lined bikini bottoms with a low waist and cutaway coverage at the back.,2020-05-19,1007698,0.0142203389830508,1,5,0.0,,ACTIVE,NONE,38.0,3eb1c52be729dbd545ab33e99ac13ce56f910d532892f1fa4c6c8e4dec690fa9,35-44,38.0,2.0,14,3
