ResponseId,Education,Education (reversed),Salary,MainBranch,Employment,RemoteWork,CodingActivities,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,DevType,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,YearsCodePro,YearsCode
12,4 Bachelor's,2 Bachelor's,194,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,Engineering manager,20 to 99 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,10-May,15-Oct
13,4 Bachelor's,2 Bachelor's,65,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"School (i.e., University, College, etc)",,,"Developer, full-stack",2 to 9 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,15-Oct
15,5 Master's,1 Master's,110,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Written Tutorials,,"Developer, full-stack","5,000 to 9,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,15-Oct
27,4 Bachelor's,2 Bachelor's,106,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,Technical documentation,,"Developer, full-stack",20 to 99 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;North American,0-5,10-May
29,5 Master's,1 Master's,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,,,"Developer, desktop or enterprise applications","10,000 or more employees",United States of America,35-44 years old,Man,No,Straight / Heterosexual,Prefer not to say,15-Oct,15-20
32,4 Bachelor's,2 Bachelor's,102,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,Technical documentation,,"Developer, full-stack","10,000 or more employees",United States of America,55-64 years old,Man,No,Straight / Heterosexual,Middle Eastern,20-25,20-25
41,3 Associate,3 Associate,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-Oct,15-20
48,4 Bachelor's,2 Bachelor's,135,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Friend or family member,Technical documentation,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,25-34 years old,Woman,No,Straight / Heterosexual,White;European;Asian;East Asian,0-5,10-May
54,4 Bachelor's,2 Bachelor's,170,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, front-end",100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White;Middle Eastern,10-May,15-Oct
56,5 Master's,1 Master's,141,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, full-stack",100 to 499 employees,United States of America,25-34 years old,Woman,No,Straight / Heterosexual,Black;Caribbean,0-5,10-May
64,4 Bachelor's,2 Bachelor's,150,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"School (i.e., University, College, etc)",,,"Developer, front-end",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;North American,15-Oct,15-20
77,5 Master's,1 Master's,160,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Pluralsight,"Developer, back-end",500 to 999 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,15-20,20-25
86,4 Bachelor's,2 Bachelor's,95,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,Data scientist or machine learning specialist,100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,10-May,10-May
94,5 Master's,1 Master's,166,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"School (i.e., University, College, etc)",,Codecademy,"Developer, front-end",10 to 19 employees,United States of America,25-34 years old,Woman,No,Straight / Heterosexual,Hispanic or Latino/a,0-5,10-May
96,4 Bachelor's,2 Bachelor's,92,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,,,"Developer, embedded applications or devices",100 to 499 employees,United States of America,25-34 years old,Man,No,,,0-5,10-May
98,2 College study,4 College study,450,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,I don't code outside o,Books / Physical media,Technical documentation,Udemy,"Developer, front-end",100 to 499 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White,20-25,25-30
104,5 Master's,1 Master's,200,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,Books / Physical media,Technical documentation,,"Developer, full-stack",100 to 499 employees,United States of America,35-44 years old,Woman,No,Gay or Lesbian,White,15-20,20-25
108,2 College study,4 College study,35,I am a developer by profession,"Employed, full-time",Full in-person,I don't code outside o,"School (i.e., University, College, etc)",,,Data scientist or machine learning specialist,100 to 499 employees,United States of America,25-34 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
114,5 Master's,1 Master's,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,,"Developer, back-end","1,000 to 4,999 employees",United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,20-25,25-30
116,4 Bachelor's,2 Bachelor's,110,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,"School (i.e., University, College, etc)",,,"Developer, back-end",100 to 499 employees,United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
118,2 College study,4 College study,2250,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,,,Data scientist or machine learning specialist,10 to 19 employees,United States of America,45-54 years old,Man,No,Straight / Heterosexual,Prefer not to say,25-30,30-35
133,4 Bachelor's,2 Bachelor's,98,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,Technical documentation,Udemy,"Developer, full-stack","10,000 or more employees",United States of America,25-34 years old,Man,No,Gay or Lesbian,White,0-5,0-5
134,4 Bachelor's,2 Bachelor's,144,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Developer, back-end",100 to 499 employees,United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,20-25,25-30
154,5 Master's,1 Master's,200,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,Books / Physical media,Technical documentation,Other,"Developer, front-end","1,000 to 4,999 employees",United States of America,25-34 years old,Man,No,Straight / Heterosexual,Asian;South Asian,15-Oct,15-Oct
156,4 Bachelor's,2 Bachelor's,132,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"School (i.e., University, College, etc)",,,"Developer, full-stack","1,000 to 4,999 employees",United States of America,18-24 years old,Man,No,Straight / Heterosexual,White,0-5,10-May
165,4 Bachelor's,2 Bachelor's,136,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,Books / Physical media,,,"Developer, full-stack",2 to 9 employees,United States of America,35-44 years old,Man,No,Straight / Heterosexual,White;Hispanic or Latino/a,15-Oct,25-30
171,5 Master's,1 Master's,400,I am a developer by profession,"Employed, full-time",Fully remote,I don't code outside o,"School (i.e., University, College, etc)",,,"Developer, back-end","1,000 to 4,999 employees",United States of America,55-64 years old,Man,No,Straight / Heterosexual,White,40-45,45-50
172,4 Bachelor's,2 Bachelor's,130,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don't code outside o,"Other online resources (e.g., videos, blogs, forum)",Technical documentation,,"Developer, embedded applications or devices",I don���,United States of America,18-24 years old,Woman,No,Gay or Lesbian,Asian,0-5,0-5
183,5 Master's,1 Master's,200,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,I don't code outside o,Books / Physical media,Technical documentation,,Other (please specify):,500 to 999 employees,United States of America,45-54 years old,Man,No,Straight / Heterosexual,White,15-Oct,20-25
