,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,year_range_built,year_range_built_numeric,year_range_built3,property_value_$1K,year_range2,year_range2_rev
415665,11321504,1.0,,,3.0,4.0,,4.0,3.0,,,3242.0,3242.0,,,,,6037.0,,3.0,,,,2.0,34670409.0,-118235928.0,8064.0,,,,,,0100,261.0,LRR7000*,60379012.051022,5534.0,3101.0,,97319.0,0.0,,,,1.0,,,2006.0,,,218800.0,292000.0,2015.0,73200.0,6970.07,0,,60379012051022.0,2005-2009,4,2003-2006,292.0,2005-2007,2 2005-2007
477805,14323250,,,,2.5,3.0,,,2.5,,,1656.0,1656.0,,,,,6059.0,,2.0,2.0,441.0,,,33660797.0,-117776806.0,3696.0,,,,,,122,261.0,,60590525.172041,52650.0,1286.0,274828.0,96952.0,0.0,,1.0,,,,,2000.0,,,164435.0,430724.0,2015.0,266289.0,6282.02,0,,60590525172041.0,2000-2004,3,1997-2000,430.0,1999-2001,5 1999-2001
537599,14157256,,,,2.5,4.0,,,2.5,,,2180.0,2180.0,,,,,6059.0,,2.0,2.0,568.0,,,33926494.0,-117846610.0,2961.0,,,,,,122,261.0,,60590218.151032,17150.0,1286.0,,97037.0,0.0,,1.0,,,,,2003.0,,,179580.0,295235.0,2015.0,115655.0,4495.84,0,,60590218151032.0,2000-2004,3,2000-2003,295.0,2001-2003,4 2001-2003
601018,17178896,,,,3.0,5.0,,,3.0,,1582.0,2984.0,2984.0,,,1582.0,,6111.0,1.0,3.0,2.0,654.0,,,34213442.0,-119166921.0,6012.0,,,,,,1111,261.0,,61110031.002042,13150.0,2061.0,,97101.0,9.0,,,,,,,2005.0,2.0,,203000.0,577000.0,2015.0,374000.0,7509.94,0,,61110031002042.0,2005-2009,4,2003-2006,577.0,2003-2005,3 2003-2005
291538,14303673,,,,3.0,5.0,,,3.0,,,3309.0,3309.0,,,,,6059.0,,3.0,3.0,760.0,,,33712377.0,-117793708.0,8162.0,,,,,,122,261.0,,60590525.271016,52650.0,1286.0,275916.0,96943.0,0.0,,,,,,,1998.0,,,397176.0,544446.0,2015.0,147270.0,7035.92,0,,60590525271016.0,1995-1999,2,1997-2000,544.0,1997-1999,6 1997-1999
613931,12101034,1.0,,,3.0,3.0,,10.0,3.0,,,1640.0,1640.0,,,,,6037.0,,3.0,,,,2.0,34128200.0,-118145000.0,,,,,,,010C,266.0,PSR3,60374640.003011,47019.0,3101.0,275405.0,96294.0,0.0,,,,1.0,,,2008.0,,,225413.0,563534.0,2015.0,338121.0,6573.18,0,,60374640003011.0,2005-2009,4,2006-2009,563.0,2007-2009,1 2007-2009
605177,11207097,1.0,,,3.0,5.0,,4.0,3.0,,,2433.0,2433.0,,,,,6037.0,,3.0,,,,2.0,34571638.0,-118069257.0,7037.0,,,,,,0100,261.0,PDR17000*,60379106.051005,40227.0,3101.0,,97328.0,0.0,,,,1.0,,,1998.0,,,144975.0,181217.0,2015.0,36242.0,4084.28,0,,60379106051005.0,1995-1999,2,1997-2000,181.0,1997-1999,6 1997-1999
286289,12252240,,,,3.0,4.0,,4.0,3.0,,,2052.0,2052.0,,,,,6037.0,,3.0,,,,2.0,33904842.0,-118292269.0,2700.0,,,,,,010D,269.0,GACSP,60376030.012005,45398.0,3101.0,,96104.0,0.0,,,,1.0,,,2005.0,,,274922.0,421069.0,2015.0,146147.0,6164.89,0,,60376030012005.0,2005-2009,4,2003-2006,421.0,2003-2005,3 2003-2005
103839,11324041,1.0,,,3.0,4.0,,4.0,3.0,,,2815.0,2815.0,,,,,6037.0,,3.0,,,,2.0,34567135.0,-118169433.0,5422.0,,,,,,0100,261.0,PDSP,60379102.061086,40227.0,3101.0,,97329.0,0.0,,,,1.0,,,2006.0,,,188491.0,251319.0,2015.0,62828.0,5958.48,0,,60379102061086.0,2005-2009,4,2003-2006,251.0,2005-2007,2 2005-2007
355357,14452802,,,,3.0,5.0,,,3.0,,,2700.0,2700.0,,,,,6059.0,,3.0,2.0,662.0,,,33458521.0,-117581782.0,4681.0,,,,,,122,261.0,,60590320.232003,13693.0,1286.0,,96983.0,0.0,,,,,,,2000.0,,,301320.0,720000.0,2015.0,418680.0,9973.0,0,,60590320232003.0,2000-2004,3,1997-2000,720.0,1999-2001,5 1999-2001
